State,District,Season,Crop,Crop_Id
andhra pradesh,anantapur,Kharif,Groundnut,1
andhra pradesh,anantapur,Kharif,Jowar,3
andhra pradesh,anantapur,Kharif,Maize,4
andhra pradesh,anantapur,Kharif,Rice,5
andhra pradesh,anantapur,Kharif,Ragi,6
andhra pradesh,anantapur,Kharif,Moong(Green Gram),7
andhra pradesh,anantapur,Kharif,Cotton(lint),8
andhra pradesh,anantapur,Kharif,Bajra,9
andhra pradesh,anantapur,Rabi,Horse-gram,0
andhra pradesh,anantapur,Rabi,Groundnut,1
andhra pradesh,anantapur,Rabi,Maize,4
andhra pradesh,anantapur,Rabi,Rice,5
andhra pradesh,chittoor,Kharif,Groundnut,1
andhra pradesh,chittoor,Kharif,Jowar,3
andhra pradesh,chittoor,Kharif,Maize,4
andhra pradesh,chittoor,Kharif,Rice,5
andhra pradesh,chittoor,Kharif,Ragi,6
andhra pradesh,chittoor,Kharif,Moong(Green Gram),7
andhra pradesh,chittoor,Kharif,Bajra,9
andhra pradesh,chittoor,Rabi,Horse-gram,0
andhra pradesh,chittoor,Rabi,Groundnut,1
andhra pradesh,chittoor,Rabi,Rice,5
andhra pradesh,east godavari,Kharif,Jowar,3
andhra pradesh,east godavari,Kharif,Cotton(lint),8
andhra pradesh,east godavari,Kharif,Bajra,9
andhra pradesh,east godavari,Rabi,Horse-gram,0
andhra pradesh,east godavari,Rabi,Maize,4
andhra pradesh,east godavari,Rabi,Rice,5
andhra pradesh,east godavari,Rabi,Moong(Green Gram),7
andhra pradesh,guntur,Kharif,Castor seed,10
andhra pradesh,guntur,Kharif,Sesamum,11
andhra pradesh,guntur,Kharif,Maize,4
andhra pradesh,guntur,Kharif,Rice,5
andhra pradesh,guntur,Kharif,Cotton(lint),8
andhra pradesh,guntur,Rabi,Groundnut,1
andhra pradesh,guntur,Rabi,Urad,12
andhra pradesh,guntur,Rabi,Gram,2
andhra pradesh,guntur,Rabi,Jowar,3
andhra pradesh,guntur,Rabi,Rice,5
andhra pradesh,guntur,Rabi,Moong(Green Gram),7
andhra pradesh,krishna,Kharif,Groundnut,1
andhra pradesh,krishna,Kharif,Urad,12
andhra pradesh,krishna,Kharif,Maize,4
andhra pradesh,krishna,Kharif,Rice,5
andhra pradesh,krishna,Kharif,Cotton(lint),8
andhra pradesh,krishna,Rabi,Groundnut,1
andhra pradesh,krishna,Rabi,Urad,12
andhra pradesh,krishna,Rabi,Maize,4
andhra pradesh,krishna,Rabi,Rice,5
andhra pradesh,krishna,Rabi,Moong(Green Gram),7
andhra pradesh,kurnool,Kharif,Groundnut,1
andhra pradesh,kurnool,Kharif,Urad,12
andhra pradesh,kurnool,Kharif,Jowar,3
andhra pradesh,kurnool,Kharif,Rice,5
andhra pradesh,kurnool,Kharif,Moong(Green Gram),7
andhra pradesh,kurnool,Kharif,Cotton(lint),8
andhra pradesh,kurnool,Kharif,Bajra,9
andhra pradesh,kurnool,Rabi,Horse-gram,0
andhra pradesh,kurnool,Rabi,Urad,12
andhra pradesh,kurnool,Rabi,Gram,2
andhra pradesh,kurnool,Rabi,Maize,4
andhra pradesh,kurnool,Rabi,Rice,5
andhra pradesh,prakasam,Kharif,Groundnut,1
andhra pradesh,prakasam,Kharif,Castor seed,10
andhra pradesh,prakasam,Kharif,Sesamum,11
andhra pradesh,prakasam,Kharif,Jowar,3
andhra pradesh,prakasam,Kharif,Moong(Green Gram),7
andhra pradesh,prakasam,Kharif,Bajra,9
andhra pradesh,prakasam,Rabi,Groundnut,1
andhra pradesh,prakasam,Rabi,Urad,12
andhra pradesh,prakasam,Rabi,Gram,2
andhra pradesh,prakasam,Rabi,Jowar,3
andhra pradesh,prakasam,Rabi,Maize,4
andhra pradesh,prakasam,Rabi,Rice,5
andhra pradesh,prakasam,Rabi,Ragi,6
andhra pradesh,prakasam,Rabi,Moong(Green Gram),7
andhra pradesh,srikakulam,Kharif,Groundnut,1
andhra pradesh,srikakulam,Kharif,Sesamum,11
andhra pradesh,srikakulam,Kharif,Maize,4
andhra pradesh,srikakulam,Kharif,Rice,5
andhra pradesh,srikakulam,Kharif,Ragi,6
andhra pradesh,srikakulam,Kharif,Moong(Green Gram),7
andhra pradesh,srikakulam,Kharif,Cotton(lint),8
andhra pradesh,srikakulam,Kharif,Bajra,9
andhra pradesh,srikakulam,Rabi,Horse-gram,0
andhra pradesh,srikakulam,Rabi,Sesamum,11
andhra pradesh,srikakulam,Rabi,Urad,12
andhra pradesh,srikakulam,Rabi,Rice,5
andhra pradesh,srikakulam,Rabi,Moong(Green Gram),7
andhra pradesh,vishakhapatnam,Kharif,Groundnut,1
andhra pradesh,vishakhapatnam,Kharif,Sesamum,11
andhra pradesh,vishakhapatnam,Kharif,Urad,12
andhra pradesh,vishakhapatnam,Kharif,Jowar,3
andhra pradesh,vishakhapatnam,Kharif,Maize,4
andhra pradesh,vishakhapatnam,Kharif,Ragi,6
andhra pradesh,vishakhapatnam,Kharif,Moong(Green Gram),7
andhra pradesh,vishakhapatnam,Rabi,Horse-gram,0
andhra pradesh,vishakhapatnam,Rabi,Groundnut,1
andhra pradesh,vishakhapatnam,Rabi,Sesamum,11
andhra pradesh,vishakhapatnam,Rabi,Urad,12
andhra pradesh,vishakhapatnam,Rabi,Maize,4
andhra pradesh,vishakhapatnam,Rabi,Rice,5
andhra pradesh,vishakhapatnam,Rabi,Ragi,6
andhra pradesh,vishakhapatnam,Rabi,Moong(Green Gram),7
andhra pradesh,vizianagaram,Kharif,Groundnut,1
andhra pradesh,vizianagaram,Kharif,Urad,12
andhra pradesh,vizianagaram,Kharif,Maize,4
andhra pradesh,vizianagaram,Kharif,Rice,5
andhra pradesh,vizianagaram,Kharif,Ragi,6
andhra pradesh,vizianagaram,Kharif,Moong(Green Gram),7
andhra pradesh,vizianagaram,Kharif,Bajra,9
andhra pradesh,vizianagaram,Rabi,Groundnut,1
andhra pradesh,vizianagaram,Rabi,Sesamum,11
andhra pradesh,vizianagaram,Rabi,Urad,12
andhra pradesh,vizianagaram,Rabi,Rice,5
andhra pradesh,vizianagaram,Rabi,Ragi,6
andhra pradesh,vizianagaram,Rabi,Moong(Green Gram),7
andhra pradesh,west godavari,Kharif,Maize,4
andhra pradesh,west godavari,Kharif,Rice,5
andhra pradesh,west godavari,Kharif,Cotton(lint),8
andhra pradesh,west godavari,Rabi,Groundnut,1
andhra pradesh,west godavari,Rabi,Urad,12
andhra pradesh,west godavari,Rabi,Maize,4
andhra pradesh,west godavari,Rabi,Rice,5
andhra pradesh,west godavari,Rabi,Moong(Green Gram),7
arunachal pradesh,changlang,Kharif,Small millets,14
arunachal pradesh,changlang,Kharif,Maize,4
arunachal pradesh,changlang,Kharif,Rice,5
arunachal pradesh,changlang,Rabi,Wheat,13
arunachal pradesh,changlang,Whole Year,Oilseeds total,15
arunachal pradesh,east kameng,Kharif,Small millets,14
arunachal pradesh,east kameng,Kharif,Maize,4
arunachal pradesh,east kameng,Kharif,Rice,5
arunachal pradesh,east kameng,Rabi,Wheat,13
arunachal pradesh,east siang,Kharif,Small millets,14
arunachal pradesh,east siang,Kharif,Maize,4
arunachal pradesh,east siang,Kharif,Rice,5
arunachal pradesh,east siang,Whole Year,Oilseeds total,15
arunachal pradesh,lohit,Kharif,Maize,4
arunachal pradesh,lohit,Rabi,Wheat,13
arunachal pradesh,lohit,Whole Year,Oilseeds total,15
arunachal pradesh,tawang,Kharif,Maize,4
arunachal pradesh,tawang,Rabi,Wheat,13
arunachal pradesh,tawang,Whole Year,Oilseeds total,15
arunachal pradesh,tirap,Kharif,Maize,4
arunachal pradesh,tirap,Kharif,Rice,5
arunachal pradesh,tirap,Whole Year,Oilseeds total,15
arunachal pradesh,upper subansiri,Kharif,Maize,4
arunachal pradesh,upper subansiri,Kharif,Rice,5
arunachal pradesh,upper subansiri,Whole Year,Oilseeds total,15
arunachal pradesh,west kameng,Kharif,Small millets,14
arunachal pradesh,west kameng,Kharif,Maize,4
arunachal pradesh,west kameng,Kharif,Rice,5
arunachal pradesh,west kameng,Rabi,Wheat,13
arunachal pradesh,west kameng,Whole Year,Oilseeds total,15
arunachal pradesh,west siang,Kharif,Small millets,14
arunachal pradesh,west siang,Kharif,Rice,5
arunachal pradesh,west siang,Whole Year,Oilseeds total,15
assam,barpeta,Autumn,Rice,5
assam,barpeta,Kharif,Castor seed,10
assam,barpeta,Kharif,Small millets,14
assam,barpeta,Kharif,Jute,21
assam,barpeta,Kharif,Mesta,22
assam,barpeta,Kharif,Arhar/Tur,23
assam,barpeta,Kharif,Cotton(lint),8
assam,barpeta,Rabi,Wheat,13
assam,barpeta,Rabi,Rapeseed &Mustard,17
assam,barpeta,Rabi,Linseed,18
assam,barpeta,Rabi,Gram,2
assam,barpeta,Summer,Rice,5
assam,barpeta,Whole Year,Turmeric,16
assam,barpeta,Whole Year,Onion,19
assam,barpeta,Winter,Rice,5
assam,cachar,Autumn,Rice,5
assam,cachar,Kharif,Small millets,14
assam,cachar,Kharif,Jute,21
assam,cachar,Kharif,Mesta,22
assam,cachar,Kharif,Arhar/Tur,23
assam,cachar,Kharif,Cotton(lint),8
assam,cachar,Rabi,Wheat,13
assam,cachar,Rabi,Rapeseed &Mustard,17
assam,cachar,Rabi,Linseed,18
assam,cachar,Rabi,Gram,2
assam,cachar,Summer,Rice,5
assam,cachar,Whole Year,Turmeric,16
assam,cachar,Whole Year,Onion,19
assam,cachar,Whole Year,Potato,20
assam,cachar,Winter,Rice,5
assam,dhubri,Autumn,Rice,5
assam,dhubri,Kharif,Small millets,14
assam,dhubri,Kharif,Mesta,22
assam,dhubri,Rabi,Wheat,13
assam,dhubri,Rabi,Rapeseed &Mustard,17
assam,dhubri,Rabi,Linseed,18
assam,dhubri,Rabi,Gram,2
assam,dhubri,Whole Year,Turmeric,16
assam,dhubri,Whole Year,Potato,20
assam,dhubri,Winter,Rice,5
assam,dibrugarh,Kharif,Arhar/Tur,23
assam,dibrugarh,Rabi,Wheat,13
assam,dibrugarh,Rabi,Rapeseed &Mustard,17
assam,dibrugarh,Whole Year,Turmeric,16
assam,dibrugarh,Whole Year,Onion,19
assam,dibrugarh,Winter,Rice,5
assam,golaghat,Autumn,Rice,5
assam,golaghat,Kharif,Small millets,14
assam,golaghat,Kharif,Jute,21
assam,golaghat,Kharif,Arhar/Tur,23
assam,golaghat,Kharif,Cotton(lint),8
assam,golaghat,Rabi,Wheat,13
assam,golaghat,Rabi,Rapeseed &Mustard,17
assam,golaghat,Whole Year,Turmeric,16
assam,golaghat,Whole Year,Onion,19
assam,golaghat,Whole Year,Potato,20
assam,golapara,Autumn,Rice,5
assam,golapara,Kharif,Small millets,14
assam,golapara,Kharif,Jute,21
assam,golapara,Kharif,Cotton(lint),8
assam,golapara,Rabi,Wheat,13
assam,golapara,Rabi,Rapeseed &Mustard,17
assam,golapara,Rabi,Linseed,18
assam,golapara,Rabi,Gram,2
assam,golapara,Whole Year,Turmeric,16
assam,golapara,Whole Year,Potato,20
assam,hailakandi,Autumn,Rice,5
assam,hailakandi,Kharif,Jute,21
assam,hailakandi,Kharif,Arhar/Tur,23
assam,hailakandi,Rabi,Rapeseed &Mustard,17
assam,hailakandi,Rabi,Gram,2
assam,hailakandi,Whole Year,Turmeric,16
assam,hailakandi,Whole Year,Onion,19
assam,hailakandi,Winter,Rice,5
assam,jorhat,Autumn,Rice,5
assam,jorhat,Kharif,Jute,21
assam,jorhat,Kharif,Arhar/Tur,23
assam,jorhat,Kharif,Cotton(lint),8
assam,jorhat,Rabi,Wheat,13
assam,jorhat,Rabi,Rapeseed &Mustard,17
assam,jorhat,Summer,Rice,5
assam,jorhat,Whole Year,Turmeric,16
assam,jorhat,Whole Year,Onion,19
assam,jorhat,Whole Year,Potato,20
assam,kamrup,Autumn,Rice,5
assam,kamrup,Kharif,Jute,21
assam,kamrup,Kharif,Mesta,22
assam,kamrup,Kharif,Cotton(lint),8
assam,kamrup,Rabi,Linseed,18
assam,kamrup,Rabi,Gram,2
assam,kamrup,Whole Year,Turmeric,16
assam,kamrup,Whole Year,Onion,19
assam,kamrup,Whole Year,Potato,20
assam,kamrup,Winter,Rice,5
assam,karbi anglong,Autumn,Rice,5
assam,karbi anglong,Kharif,Castor seed,10
assam,karbi anglong,Kharif,Mesta,22
assam,karbi anglong,Kharif,Cotton(lint),8
assam,karbi anglong,Rabi,Wheat,13
assam,karbi anglong,Rabi,Rapeseed &Mustard,17
assam,karbi anglong,Rabi,Linseed,18
assam,karbi anglong,Summer,Rice,5
assam,karbi anglong,Whole Year,Potato,20
assam,karimganj,Autumn,Rice,5
assam,karimganj,Kharif,Jute,21
assam,karimganj,Kharif,Arhar/Tur,23
assam,karimganj,Rabi,Rapeseed &Mustard,17
assam,karimganj,Rabi,Linseed,18
assam,karimganj,Summer,Rice,5
assam,karimganj,Whole Year,Onion,19
assam,karimganj,Whole Year,Potato,20
assam,kokrajhar,Autumn,Rice,5
assam,kokrajhar,Kharif,Small millets,14
assam,kokrajhar,Kharif,Jute,21
assam,kokrajhar,Kharif,Mesta,22
assam,kokrajhar,Kharif,Arhar/Tur,23
assam,kokrajhar,Kharif,Cotton(lint),8
assam,kokrajhar,Rabi,Wheat,13
assam,kokrajhar,Rabi,Linseed,18
assam,kokrajhar,Rabi,Gram,2
assam,kokrajhar,Whole Year,Turmeric,16
assam,kokrajhar,Whole Year,Onion,19
assam,kokrajhar,Whole Year,Potato,20
assam,lakhimpur,Autumn,Rice,5
assam,lakhimpur,Kharif,Small millets,14
assam,lakhimpur,Kharif,Jute,21
assam,lakhimpur,Kharif,Mesta,22
assam,lakhimpur,Kharif,Cotton(lint),8
assam,lakhimpur,Rabi,Wheat,13
assam,lakhimpur,Rabi,Rapeseed &Mustard,17
assam,lakhimpur,Rabi,Linseed,18
assam,lakhimpur,Summer,Rice,5
assam,lakhimpur,Whole Year,Turmeric,16
assam,lakhimpur,Whole Year,Potato,20
assam,lakhimpur,Winter,Rice,5
assam,nagaon,Kharif,Jute,21
assam,nagaon,Kharif,Mesta,22
assam,nagaon,Kharif,Cotton(lint),8
assam,nagaon,Rabi,Wheat,13
assam,nagaon,Rabi,Linseed,18
assam,nagaon,Summer,Rice,5
assam,nagaon,Whole Year,Turmeric,16
assam,nagaon,Whole Year,Potato,20
assam,nagaon,Winter,Rice,5
assam,nalbari,Kharif,Small millets,14
assam,nalbari,Kharif,Jute,21
assam,nalbari,Kharif,Mesta,22
assam,nalbari,Kharif,Arhar/Tur,23
assam,nalbari,Kharif,Cotton(lint),8
assam,nalbari,Rabi,Wheat,13
assam,nalbari,Rabi,Linseed,18
assam,nalbari,Rabi,Gram,2
assam,nalbari,Whole Year,Turmeric,16
assam,nalbari,Whole Year,Onion,19
assam,sibsagar,Autumn,Rice,5
assam,sibsagar,Kharif,Castor seed,10
assam,sibsagar,Kharif,Jute,21
assam,sibsagar,Kharif,Arhar/Tur,23
assam,sibsagar,Kharif,Cotton(lint),8
assam,sibsagar,Rabi,Wheat,13
assam,sibsagar,Rabi,Rapeseed &Mustard,17
assam,sibsagar,Whole Year,Turmeric,16
assam,sibsagar,Whole Year,Onion,19
assam,sibsagar,Whole Year,Potato,20
assam,sonitpur,Autumn,Rice,5
assam,sonitpur,Rabi,Gram,2
assam,sonitpur,Whole Year,Onion,19
assam,tinsukia,Autumn,Rice,5
assam,tinsukia,Kharif,Castor seed,10
assam,tinsukia,Kharif,Small millets,14
assam,tinsukia,Kharif,Jute,21
assam,tinsukia,Kharif,Mesta,22
assam,tinsukia,Kharif,Arhar/Tur,23
assam,tinsukia,Rabi,Wheat,13
assam,tinsukia,Whole Year,Turmeric,16
assam,tinsukia,Whole Year,Potato,20
bihar,araria,Kharif,Jute,21
bihar,araria,Kharif,Mesta,22
bihar,araria,Kharif,Arhar/Tur,23
bihar,araria,Rabi,Wheat,13
bihar,araria,Rabi,Gram,2
bihar,araria,Rabi,Maize,4
bihar,araria,Summer,Maize,4
bihar,araria,Summer,Rice,5
bihar,aurangabad,Kharif,Arhar/Tur,23
bihar,aurangabad,Rabi,Wheat,13
bihar,aurangabad,Rabi,Rapeseed &Mustard,17
bihar,aurangabad,Rabi,Linseed,18
bihar,aurangabad,Rabi,Gram,2
bihar,begusarai,Kharif,Arhar/Tur,23
bihar,begusarai,Rabi,Wheat,13
bihar,begusarai,Rabi,Rapeseed &Mustard,17
bihar,begusarai,Rabi,Gram,2
bihar,begusarai,Rabi,Maize,4
bihar,bhagalpur,Kharif,Arhar/Tur,23
bihar,bhagalpur,Rabi,Wheat,13
bihar,bhagalpur,Rabi,Rapeseed &Mustard,17
bihar,bhagalpur,Rabi,Linseed,18
bihar,bhagalpur,Rabi,Gram,2
bihar,bhagalpur,Rabi,Maize,4
bihar,bhagalpur,Summer,Rice,5
bihar,bhojpur,Kharif,Arhar/Tur,23
bihar,bhojpur,Kharif,Bajra,9
bihar,bhojpur,Rabi,Wheat,13
bihar,bhojpur,Rabi,Gram,2
bihar,bhojpur,Rabi,Maize,4
bihar,bhojpur,Summer,Maize,4
bihar,buxar,Kharif,Arhar/Tur,23
bihar,buxar,Kharif,Jowar,3
bihar,buxar,Kharif,Bajra,9
bihar,buxar,Rabi,Wheat,13
bihar,buxar,Rabi,Rapeseed &Mustard,17
bihar,buxar,Rabi,Linseed,18
bihar,buxar,Rabi,Gram,2
bihar,darbhanga,Kharif,Arhar/Tur,23
bihar,darbhanga,Rabi,Wheat,13
bihar,darbhanga,Rabi,Gram,2
bihar,darbhanga,Rabi,Maize,4
bihar,darbhanga,Summer,Maize,4
bihar,darbhanga,Summer,Rice,5
bihar,gaya,Rabi,Wheat,13
bihar,gaya,Rabi,Rapeseed &Mustard,17
bihar,gaya,Rabi,Linseed,18
bihar,gaya,Rabi,Gram,2
bihar,gaya,Summer,Maize,4
bihar,gopalganj,Rabi,Wheat,13
bihar,gopalganj,Rabi,Rapeseed &Mustard,17
bihar,gopalganj,Rabi,Maize,4
bihar,gopalganj,Summer,Maize,4
bihar,jamui,Kharif,Arhar/Tur,23
bihar,jamui,Rabi,Wheat,13
bihar,jamui,Rabi,Rapeseed &Mustard,17
bihar,jamui,Rabi,Linseed,18
bihar,jamui,Rabi,Gram,2
bihar,jamui,Rabi,Maize,4
bihar,jamui,Summer,Maize,4
bihar,katihar,Kharif,Jute,21
bihar,katihar,Rabi,Rapeseed &Mustard,17
bihar,katihar,Rabi,Linseed,18
bihar,katihar,Rabi,Gram,2
bihar,katihar,Rabi,Maize,4
bihar,katihar,Summer,Maize,4
bihar,katihar,Summer,Rice,5
bihar,khagaria,Kharif,Arhar/Tur,23
bihar,khagaria,Rabi,Wheat,13
